Strike_Price,Buy_Sell,Traded_Qty,TotalBuy,TotalSell,Traded_Price,ComType,User_Id
2925,Sell,1,0,0,12,Option,
2925,Sell,1,0,0,11.8,Option,
2925,Sell,1,0,0,14.3,Option,
2925,Sell,1,0,0,14.5,Option,
73,Buy,1,0,0,0.2,Option,
71,Sell,1,0,0,0.53,Option,
73.5,Sell,2,0,0,0.17,Option,
73.5,Sell,2,0,0,0.16,Option,
69,Buy,1,0,0,1.19,Option,
71,Buy,1,0,0,0.49,Option,
69,Buy,1,0,0,1.15,Option,
69,Buy,1,0,0,1.14,Option,
71,Sell,1,0,0,0.52,Option,
69,Buy,1,0,0,1.03,Option,
71,Buy,2,0,0,0.41,Option,
72.5,Sell,2,0,0,0.21,Option,
72.5,Sell,1,0,0,0.21,Option,
72.5,Sell,2,0,0,0.21,Option,
70,Buy,2,0,0,0.64,Option,
68,Buy,1,0,0,1.76,Option,
67,Buy,1,0,0,1.96,Option,
67,Buy,1,0,0,1.95,Option,
68,Buy,1,0,0,1.88,Option,
68,Buy,1,0,0,1.87,Option,
67,Buy,1,0,0,1.86,Option,
67,Buy,1,0,0,1.86,Option,
67,Buy,1,0,0,1.94,Option,
68,Buy,1,0,0,1.83,Option,
68,Buy,1,0,0,1.86,Option,
66,Buy,2,0,0,1.02,Option,
66,Buy,1,0,0,1,Option,
66,Buy,2,0,0,1,Option,
66,Buy,1,0,0,1.02,Option,
66,Buy,1,0,0,1,Option,
68,Sell,1,0,0,1.82,Option,
67,Sell,1,0,0,1.9,Option,
68,Sell,1,0,0,1.88,Option,
67,Sell,1,0,0,1.82,Option,
68,Sell,1,0,0,1.69,Option,
67,Sell,1,0,0,1.96,Option,
67,Sell,1,0,0,1.96,Option,
69,Buy,1,0,0,0.86,Option,
68,Sell,1,0,0,1.55,Option,
67,Sell,1,0,0,2.02,Option,
66,Buy,1,0,0,0.84,Option,
68,Sell,1,0,0,1.48,Option,
69,Sell,1,0,0,1.16,Option,
69,Sell,1,0,0,1.16,Option,
69,Sell,1,0,0,1.14,Option,
69,Sell,1,0,0,1.16,Option,
69,Sell,1,0,0,1.16,Option,
70,Sell,1,0,0,0.79,Option,
71,Sell,1,0,0,0.52,Option,
69,Sell,1,0,0,1.15,Option,
69,Buy,1,0,0,0.92,Option,
70,Buy,1,0,0,0.61,Option,
0,Buy,1,0,0,67.48,Future,
0,Buy,1,0,0,67.54,Future,
0,Buy,1,0,0,67.51,Future,
0,Buy,1,0,0,67.53,Future,
0,Buy,1,0,0,67.58,Future,
0,Buy,1,0,0,67.46,Future,
0,Sell,1,0,0,67.69,Future,
0,Sell,1,0,0,67.52,Future,
0,Sell,1,0,0,67.67,Future,
0,Sell,1,0,0,67.71,Future,
0,Sell,1,0,0,67.44,Future,
0,Sell,1,0,0,67.52,Future,
0,Sell,1,0,0,67.57,Future,
0,Sell,1,0,0,67.56,Future,
0,Sell,1,0,0,67.54,Future,
0,Sell,1,0,0,67.59,Future,
0,Sell,1,0,0,67.52,Future,
0,Sell,1,0,0,67.44,Future,
0,Sell,1,0,0,67.7,Future,
0,Sell,1,0,0,67.7,Future,
