Buy_Sell,ComType,Strike_Price,Traded_Qty,Traded_Price
Buy,Option,2980,1,13.9
Buy,Option,2980,1,13.9
Sell,Option,2990,1,60.7
Sell,Option,3020,1,18.9
Sell,Option,3020,1,18.9
Buy,Option,2960,1,86.2
Buy,Option,2980,1,8.1
Buy,Option,2980,1,8
Buy,Option,2980,1,8
Buy,Option,2980,1,8
Sell,Option,3020,1,18.8
Sell,Option,3020,1,18.8
Sell,Option,3020,1,18.8
Buy,Option,2980,1,8
Buy,Option,2980,1,8
Buy,Option,2980,1,8
Buy,Option,2980,1,8
Buy,Option,2980,1,8
Buy,Option,2980,1,7.9
Sell,Option,2990,1,60.7
Sell,Option,3020,1,18.9
Sell,Option,3020,1,18.9
Sell,Option,2990,1,60.8
Sell,Option,3020,1,18.8
Sell,Option,3020,1,18.8
Sell,Option,3020,1,18.9
Sell,Option,3020,1,19
Buy,Option,2940,1,104.8
Sell,Option,3020,1,18.9
Buy,Option,2940,1,104.4
Buy,Option,69,1,2.62
Buy,Option,67,1,2.92
Buy,Option,67,1,2.99
Buy,Option,69,1,2.56
Buy,Option,68,1,2.11
Buy,Option,66,1,3.64
Sell,Option,69,1,2.67
Sell,Option,67,1,2.94
Sell,Option,69,1,2.71
Sell,Option,67,1,2.9
Sell,Option,66,1,3.51
Sell,Option,68,1,2.22
Sell,Option,71.5,1,0.79
Buy,Option,70.5,1,0.96
Sell,Option,71.5,1,0.67
Sell,Option,69,1,3.59
Sell,Option,67,1,2.14
Buy,Option,70.5,1,0.86
Buy,Option,66.5,1,2.12
Buy,Option,66.5,1,2.12
Buy,Option,66.5,1,2.07
Buy,Option,66.5,1,2.1
Buy,Option,70.5,1,0.86
Buy,Option,66.5,1,1.57
Buy,Option,66.5,1,1.64
Buy,Option,66.5,1,1.63
Buy,Option,66.5,1,1.63
Buy,Option,70.5,2,1.2
Buy,Option,69,1,2.81
Buy,Option,70.5,2,1.17
Buy,Option,67,1,2.71
Buy,Option,70.5,1,1.17
Buy,Option,70.5,1,1.17
Buy,Option,70.5,1,1.11
Buy,Option,70.5,1,1.11
Buy,Option,71.5,1,0.9
Buy,Option,71.5,1,0.86
Buy,Option,70.5,1,1.07
Buy,Option,71.5,1,0.85
Buy,Option,70.5,1,1.06
Buy,Option,66.5,1,1.79
Buy,Future,0,1,67.42
Buy,Future,0,1,67.54
Buy,Future,0,1,67.43
Buy,Future,0,1,67.38
Buy,Future,0,1,67.49
Buy,Future,0,1,67.49
Buy,Future,0,1,67.45
Buy,Future,0,1,67.32
Buy,Future,0,1,67.3
Buy,Future,0,1,67.07
Buy,Future,0,1,67.06
Buy,Future,0,1,67.05
Buy,Future,0,1,66.95
Buy,Future,0,1,67.03
Buy,Future,0,1,67.03
Sell,Future,0,1,66.77
Sell,Future,0,1,66.81
Sell,Future,0,1,66.79
Sell,Future,0,1,66.78
Sell,Future,0,1,66.81
Sell,Future,0,1,66.78
Sell,Future,0,1,66.78
Sell,Future,0,1,66.83
Sell,Future,0,1,66.83
Sell,Future,0,1,66.88
Sell,Future,0,1,66.89
Sell,Future,0,1,66.85
Sell,Future,0,1,66.85
Sell,Future,0,1,66.84
Sell,Future,0,1,66.84
Sell,Future,0,1,66.86
Buy,Future,0,1,67.55
Buy,Future,0,1,67.51
Buy,Future,0,1,67.52
Buy,Future,0,1,67.52
Buy,Future,0,1,67.5
Buy,Future,0,1,67.52
Buy,Future,0,1,67.54
Buy,Future,0,1,67.51
Buy,Option,3.5,1,0.07
Buy,Option,3.5,1,0.072
Buy,Option,3.5,1,0.071
Buy,Option,3.5,1,0.069
Buy,Option,3.5,1,0.07
Buy,Option,3.5,1,0.056
Sell,Future,0,2,3042.70
Sell,Future,0,1,3042.70
Buy,Future,0,1,3456.00
Buy,Future,0,1,3469.50
Sell,Future,0,1,3481.00
Sell,Future,0,1,3486.00
Buy,Future,0,5,9834.50
Buy,Future,0,3,9835.50
Buy,Future,0,2,9835.50
Buy,Future,0,2,9848.50
Buy,Future,0,3,9848.50
